channel,touchpoints,journeys_seen,converted_journeys_seen,conversion_rate_when_seen,touchpoint_share
Publisher 01,4631,2615,48,0.01835564053537285,0.1923572170301142
Publisher 02,2190,1227,25,0.020374898125509373,0.09096573208722741
Publisher 03,1341,879,13,0.01478953356086462,0.055700934579439254
Publisher 04,550,300,10,0.03333333333333333,0.02284527518172378
Publisher 05,540,310,4,0.012903225806451613,0.022429906542056073
Publisher 06,319,199,4,0.020100502512562814,0.013250259605399793
Publisher 07,274,165,3,0.01818181818181818,0.011381100726895119
Publisher 08,236,138,5,0.036231884057971016,0.00980269989615784
Long-tail placements,13994,7147,124,0.01734993703651882,0.5812668743509865
